"主题","回复用户","回复内容"
"[虎扑绝地求生复盘]PCPI决赛日TPP模式4AM吃鸡：破釜沉舟，百二秦关终属楚（zhu）","木丶林森","猪头威武！！借用主持人说的话使出‘’猪拱”技能！霸气翻盘 帅帅帅！！"
"【赛事】全民QSL比赛将于6月9日重启","源太浪","4阿妹会不会翻车？毕竟平台赛打的跟屎一样。。。发自虎扑Android客户端"
"全民最近比赛分组","哈哈哈来来来来来来","可怜的kzsss没排面发自虎扑Android客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","永不沉寂","这个剪辑的那位同学，不去4am工作吗？出了很多作品了，是业务爱好吗？发自虎扑Android客户端"
"《电竞说》专访OMG小狮子：单挑我谁都不虚，我想拿世界赛击杀王！","omg林大","和年轻时候的我一毛一样发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","不言而郁","我发现存好像长开了脸上稚气少了发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","curseit","孤存打ow的时候是真滴肉呀发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","猪头的弹幕教练","热血沸腾 不知道楼主能不能把pcpi四天历程做个小短片。从低估到崩盘，最后到众神归位，创造奇迹。一个名为绝地求生的英雄电影。发自虎扑Android客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","tearfish12","来来4AM招美工就需要楼主这样的人才～～发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","歪伯伯","4am粉丝也太牛气了吧哈哈！不过我建议正面减少一些撸啊撸的镜头，毕竟内核还是绝地求生；而各自以往的经历，作为更细节加入到视频中去。发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","james薛","阿鲁韦化之前是真滴帅🙈🙈发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","伱微笑時好美丶","哪里跌倒，哪里爬起来！永远不要低估4am一颗冠军的心！发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","暮夜冰倪","🐷的轮回！！发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","我要等聪聪16年","强烈要求蜜蜂仔给你发点加工费发自虎扑Android客户端"
"4阿妹六月份日程安排！（来自官博 侵删）","moonk213","你不投我不投，孤少没法拿空投你一票我一票，蜂仔才能拿机票请为主播赛的这对组合加油，蜂韵犹存upup！！发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","峡谷xg","恭喜4am嘤嘤嘤发自虎扑iPhone客户端"
"[流言板]Shroud和DrDisRespect绝地求生专属武器皮肤将于北京时间6月5日发售","偶数类","敢不敢做一个韦神专属皮肤^_^这两个小主播在我大中国亿万观众面前都是弟弟发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","MeiZzi9","引用7楼 @猪头的弹幕教练 发表的:热血沸腾 不知道楼主能不能把pcpi四天历程做个小短片。从低估到崩盘，最后到众神归位，创造奇迹。一个名为绝地求生的英雄电影。楼主在B站有UP，大帅比邹邹，里边猪头醒目卡帝存存都有的发自虎扑Android客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","4AMmolly","好评，什么时候才能像你一样卖家秀？！发自虎扑iPhone客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","板栗两元","最后这个拖鞋真骚发自虎扑Android客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","一如既往史来客","愣着干嘛，哭啊！发自虎扑Android客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","MeiZzi9","大帅比邹邹！发自虎扑Android客户端"
"【4AM出征柏林高燃混剪MV】Legends Never Die 自制","傲天风风","梦回s5,回来了都回来了，3年的等待。。"
"4阿妹六月份日程安排！（来自官博 侵删）","暮晓青筝","小龙要带队啦好期待龙儿队长^_^发自虎扑iPhone客户端"
"4阿妹六月份日程安排！（来自官博 侵删）","Me丶魔","昨天看帖子还有说，一队打不上比赛的，这不来了么。4am加油！龙一队加油！猪二队加油！发自手机虎扑 m.hupu.com"
"感恩 感谢大家的陪伴喜爱和支持","沉默小星星","呜呜呜呜呜呜发自虎扑iPhone客户端"
"感恩 感谢大家的陪伴喜爱和支持","峡谷xg","引用1楼 @峡谷xg 发表的:恭喜4am嘤嘤嘤我是第一应该抽我把，哈哈哈发自虎扑iPhone客户端"
"感恩 感谢大家的陪伴喜爱和支持","fffllzz","恭喜4AMzszs"
"感恩 感谢大家的陪伴喜爱和支持","影子zzzzz","恭喜4AM，猪头又要去柏林了，S5丢掉的东西，这次拿回来吧。"
"感恩 感谢大家的陪伴喜爱和支持","生德韦大","4AM   OMG加油！争光回来！！！发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","你来拿货","加油加油，4只猪，真的哭了 牛逼牛逼牛逼发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","猫猫喵喵呜","4am牛逼牛逼牛逼"
"感恩 感谢大家的陪伴喜爱和支持","星星我爱你哈","我们天谴了这么久，终于最后一把天把圈刷回来了。😂😂发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","夹谷亦云","期待下一次在德国战胜强大的FAZE  ！！！发自虎扑Android客户端"
"[流言板]Shroud和DrDisRespect绝地求生专属武器皮肤将于北京时间6月5日发售","家葛愛情","红的还是不要买了吧"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","aresuuuuu","最*河蟹*台赛事有快手和黄金赛？"
"为什么虎扑不自己组建一支队？","抱抱抱抱包","楼主做老板，出钱建基地。欧了发自虎扑Android客户端"
"看到出新皮肤了！告诉你手机怎么买！","欧阳永叔","引用16楼 @猗犽小天使 发表的:应该挺多人买的，到时候捡别人的就行了你好像有丶东西的。发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","你好像有点秀","爱你哦 么么哒爱你哦 么么哒"
