"主题","回复用户","回复内容"
"[流言板]PCPI中国邀请赛主持人兜兜发文：虎扑的战队巡礼对我帮助很大","我想静静emmm","我又恋爱了……嘤嘤嘤发自虎扑iPhone客户端"
"[流言板]A+微博发文称PCPI落败是iFTY正规化的开端，休假是为了解决问题","paramero","言下之意大家应该看出来了啊，大哥是真想从根上解决问题啊，只是有的话说不出口，有的事他做不出来，所以只能回避啊。发自虎扑Android客户端"
"这个战绩能不能进一线职业队","SqM1","18场别想了zszs发自虎扑iPhone客户端"
"这个战绩能不能进一线职业队","酿意思的口音","进kz的要求  :和211对狙50盘，赢30盘。稳进。发自虎扑Android客户端"
"这个战绩能不能进一线职业队","白白斩鸡","怎么 想住地下室吗发自虎扑iPhone客户端"
"这个战绩能不能进一线职业队","晨间之雾","场次太少，分数太低2200分左右100+场次就大概知道是什么样的类型个人能力如何"
"这个战绩能不能进一线职业队","峡谷xg","最起码50场吧发自虎扑iPhone客户端"
"这个战绩能不能进一线职业队","是马哈哈啊w","又一个猛男。。发自虎扑Android客户端"
"这个战绩能不能进一线职业队","比斯开湾的幽灵","我觉得你可以 211这种都可以发自虎扑iPhone客户端"
"[流言板]A+微博发文称PCPI落败是iFTY正规化的开端，休假是为了解决问题","血色totaa","流量队也不是这么好做的，这次比赛后，ifty可能会掉出3大流量队，正好可以把全队心思放在比赛上。出了成绩，A+你就是王者归来，出不了成绩，ifty就成为曾经。"
"[流言板]A+微博发文称PCPI落败是iFTY正规化的开端，休假是为了解决问题","血色totaa","引用10楼 @用脑子生活 发表的:队友都是聪明人，尤其是TK是喜欢动脑子的。A+什么时候讲道理不喷人了，自然成绩就回来了确实，喷人限制了队友的发挥空间，A+希望的是队伍的执行力，但是这样下去队友就变成死脑筋了。NB211为什么强，老观众都知道，他是唯一一个在A+S12K面前敢怼回去而A+还没办法的人。"
"PUBG选手解说选个做男/女朋友，你会选谁？","MeiZzi9","我……我……我稀饭风筝小改改，当然，孤……孤……孤少也不是不行发自虎扑Android客户端"
"LGD布谷鸟已离队 ","77kuku77ku","引用29楼 @king考辛斯 发表的:有这么说话的吗？什么叫想想为什么只有他活着 这个梦教练的嘴是真的臭，一次又一次发自虎扑iPhone客户端"
"最讨厌打四排了...你喜欢单还是多排","Mr_ZeinY","四排，几个同学一起玩还能互喷，超爽发自虎扑Android客户端"
"PUBG选手解说选个做男/女朋友，你会选谁？","诺坎普的猫","兜兜zszszszs发自虎扑Android客户端"
"PUBG选手解说选个做男/女朋友，你会选谁？","全都是泡沫灬丿","引用1楼 @MeiZzi9 发表的:我……我……我稀饭风筝小改改，当然，孤……孤……孤少也不是不行发自虎扑Android客户端"
"PUBG选手解说选个做男/女朋友，你会选谁？","Pancraz1","千亿 毕竟腿控tx发自虎扑iPhone客户端"
"PUBG选手解说选个做男/女朋友，你会选谁？","O_Oasis","引用1楼 @MeiZzi9 发表的:我……我……我稀饭风筝小改改，当然，孤……孤……孤少也不是不行gay里gay气的，举报了发自虎扑iPhone客户端"
"PUBG选手解说选个做男/女朋友，你会选谁？","XQaweto","毫无疑问，小彤发自虎扑Android客户端"
"PUBG选手解说选个做男/女朋友，你会选谁？","21槑7","孤存，谢谢，请各位不要跟我抢发自虎扑Android客户端"
"PUBG选手解说选个做男/女朋友，你会选谁？","大呶呶","存存当然最好了，那么可爱，让人忍不住想宠没有存存的话，那我选也好，毕竟颜值在线，说话也很有趣啊。好看的皮囊和有趣的灵魂，都要发自虎扑iPhone客户端"
"LGD布谷鸟已离队 ","king考辛斯","有这么说话的吗？什么叫想想为什么只有他活着 发自虎扑iPhone客户端"
"LGD布谷鸟已离队 ","小弯52","布谷鸟当时他们买过去五万,经常调笑,一个叉扣龙=40个鸟少.这位教练嘴太X了,从你公司离职的员工你这样说一句不是毁人呢么.看了你说的这句话,还有人买他么,得了你一个这种评价还让不让人继续打了.人都要走了,推荐信也得写个好看点的啊."
"LGD布谷鸟已离队 ","高可urz","引用33楼 @77kuku77ku 发表的:这个梦教练的嘴是真的臭，一次又一次有这种教练 我觉得lgd也强不到哪里去发自虎扑Android客户端"
"LGD布谷鸟已离队 ","JaegerX","梦晴就是个渣渣 有人点赞么？发自虎扑iPhone客户端"
"LGD布谷鸟已离队 ","用脑子生活","引用33楼 @77kuku77ku 发表的:这个梦教练的嘴是真的臭，一次又一次这个梦情，人丑还多作怪……"
"LGD布谷鸟已离队 ","谨言慎行QAQ","引用33楼 @77kuku77ku 发表的:这个梦教练的嘴是真的臭，一次又一次上次那个nn也是，人都走了，还要说一大堆，说别学nn什么什么的，人现在在fpx也算是头牌了发自虎扑Android客户端"
"LGD布谷鸟已离队 ","17GIGI","引用3楼 @御用网管 发表的:25W年薪？？有点低。。25w是给俱乐部的 不是给选手的。。大兄弟"
"LGD布谷鸟已离队 ","NanXunN","我真是无极鲅鱼啦，看了LGD快一年送走两个突击位了。这个位置是有毒还是怎么，先从NN再到布谷鸟，昨天梦晴还在自己群里说布谷鸟去二队替换今天就离队了？我就直说，作为LGD粉丝想问一下什么时候换教练？以前觉得没成绩换了NN，换了布谷以后还不是没有什么变化，该低迷还不是低迷？不是换人就能解决问题的，但是总是用换人来解决问题。发自虎扑Android客户端"
"LGD布谷鸟已离队 ","likuider","引用258楼 @玮德噶1197 发表的:嗯，著名带哥又来了？反正4AM背锅就完事了。消灭抱团这个b，4am职业黑，每个帖子里没人说4anm，他得上来扯上4am，把节奏带起来，也许上辈子猪头杀了他全家，所以这辈子才这样子吧发自虎扑Android客户端"
"LGD布谷鸟已离队 ","用脑子生活","引用33楼 @77kuku77ku 发表的:这个梦教练的嘴是真的臭，一次又一次被KTV之人活着都是错的……"
"LGD布谷鸟已离队 ","阿苏苏的苏丶","引用111楼 @JaegerX 发表的:梦晴就是个渣渣 有人点赞么？有啊 我实名点赞发自虎扑Android客户端"
"LGD布谷鸟已离队 ","你歌是你哥啊","啊 我还觉得他不会走 布谷鸟有点东西的发自虎扑iPhone客户端"
"LGD布谷鸟已离队 ","小黑盒Zeus","都是俱乐部正常换血操作 各位冷静一下这次挂牌换人挺多的～等转会期结束再说嘛。。发自虎扑iPhone客户端"
"LGD布谷鸟已离队 ","77kuku77ku","引用51楼 @jakey明昊 发表的:具体情况不了解，如果是因为布谷鸟的失误或者其他原因，倒是队伍只有布谷鸟或者，梦情这么说这也正常正常？哪个教练出来这么说了？就算在lol圈也没有这样的发自虎扑iPhone客户端"
"最讨厌打四排了...你喜欢单还是多排","qing1fei","从不玩单排。心脏受不了。双排玩的最多 因为我有现实朋友。虽然打的很差。"
"忏悔来4am试训了","难受啊醒","来4am不用试训，毕竟天天带老板娘打游戏的。"
"LGD布谷鸟已离队 ","遍地的青苔","龟龟，地震了，IFTY，4AM，LS等 赶紧捞人才"
"LGD布谷鸟已离队 ","likuider","引用33楼 @77kuku77ku 发表的:这个梦教练的嘴是真的臭，一次又一次从来不喜欢这个教练，嘴真的臭，败lgd人品发自虎扑Android客户端"
"LGD布谷鸟已离队 ","勾陈六星","引用72楼 @你眼里的我是怎样的 发表的:有人科普以下是这个B没？？？原来是个警察，绝地火起来的时候他狙击dota圈大主播yyf，还起了个很挑衅的id叫ob之父（yyf退役以后和朋友组的队叫ob战队），惹怒了别人粉丝就道歉认怂了，上过亚服榜首。dota圈那些人都很菜，对高手还蛮尊重的，之后他算打入了这个圈子，总是去大mu的自定义服玩。吃鸡职业化以后自荐到lgd当教练，lgd的人还咨询mu神这个人怎么样，mu神说一起玩的时候没什么毛病，lgd就要他了。我看直播的时候他已经混进这个圈子了，狙击的事了解的不太清楚，yyf的粉丝应该知道。补充一点点，去年4、5月份dota圈很流行玩这个，他们基本都很菜有时候找大腿带，像哦棒、图拉夫、小白鸽、梦晴都是常客，每天晚上在mu神yy组队打自定义，服务器是obang申请的，但是他白天要工作，但是这些人都玩到很晚，所以梦晴就接了开夜间服务器的工作，在斗鱼也开了个直播，有的人会到他直播间看上帝视角，不过播了半年也没火，后来他就去lgd当教练了，多少沾了和dota这些人比较熟悉的光吧。[ 此帖被勾陈六星在2018-06-05 22:45修改 ]"
"LGD布谷鸟已离队 ","你眼里的我是怎样的","引用33楼 @77kuku77ku 发表的:这个梦教练的嘴是真的臭，一次又一次有人科普以下是这个B没？？？"
"LGD布谷鸟已离队 ","jakey明昊","引用33楼 @77kuku77ku 发表的:这个梦教练的嘴是真的臭，一次又一次具体情况不了解，如果是因为布谷鸟的失误或者其他原因，倒是队伍只有布谷鸟或者，梦情这么说这也正常"
"LGD布谷鸟已离队 ","有子逾墙","他自己为啥不想想lgd从天命杯冠军到现在决赛倒数直线下滑几个月，他这个教练却毫无办法？这种废物毒瘤早该滚了，四处口嗨给队员挖坑。发自虎扑Android客户端"
"LGD布谷鸟已离队 ","胡萝卜与蜗牛i","引用128楼 @NanXunN 发表的:我真是无极鲅鱼啦，看了LGD快一年送走两个突击位了。这个位置是有毒还是怎么，先从NN再到布谷鸟，昨天梦晴还在自己群里说布谷鸟去二队替换今天就离队了？我就直说，作为LGD粉丝想问一下什么时候换教练？以前觉得没成绩换了NN，换了布谷以后还不是没有什么变化，该低迷还不是低迷？不是换人就能解决问题的，但是总是用换人来解决问题。作为以前LOL的LGD粉丝 建议你不要粉LGD 这个队伍管理只能用弱智形容教练能说出这样的话 还有之前在论坛的发言 老板毫无作为 只能说这个队伍不值得粉 喜欢队员就可以了"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","怀表停了","直到这个游戏的尽头，见证过这个镜头的人恐怕都不会忘了如此经典的时刻，因为它不只是一次个人英雄主义的极致发挥，同时也承载了属于双方的恩怨情仇。发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","xujiancow","哈哈哈哈     嗝。。"
"忏悔来4am试训了","mifengaaa","你们好像有点快发自虎扑iPhone客户端"
"忏悔来4am试训了","吃鸡不吃吧","引用30楼 @Prime柯 发表的:去了不也是看饮水机 何必呢？你进来不也是嘲讽一下 何必呢发自虎扑Android客户端"
"忏悔来4am试训了","酷凌123","KG_CHANHUI，4AMKenny职业生涯杀的第一个人发自虎扑Android客户端"
"忏悔来4am试训了","难受啊醒","引用1楼 @My1KeMiiii 发表的:忏悔是谁，科普下KG的，快播王总手下的打手。"
"忏悔来4am试训了","wlzzzzz","蜜蜂仔的打手居然来了。。发自虎扑Android客户端"
"忏悔来4am试训了","柿子殿下丶","KG的主力，王总的心腹，还需要试训？！直接说跳槽不就行了！"
"忏悔来4am试训了","越小祈","忏悔生存能力很强，不过感觉一队3个打手够了缺个指挥，如果是王总来就好了哈哈哈 战术大师，训练赛王总一招借刀杀人灭了岛上3个队那场记忆犹新啊"
"忏悔来4am试训了","Wendy444","就是王总的打手。我现在记得他们天天杀猪的行为。天天安排小龙的打手发自虎扑Android客户端"
"忏悔来4am试训了","_野原广志","引用152楼 @mifengaaa 发表的:你们好像有点快老板娘在虎扑买了房？"
"忏悔来4am试训了","走着走着zZ","昨天早上在王总直播间他提到过 去4am或者ag试发自虎扑Android客户端"
"忏悔来4am试训了","ev517","一队颜值完爆油头粉面的二队，孤存独木难支发自虎扑Android客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","帮我答下到","反正我是关弹幕看完的。发自虎扑iPhone客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","喳喳玩hupu","真的太燃了。早上迷迷糊糊醒了打开直播正好看到这一幕，（加上激情解说）瞬间精神了。唯一不懂的是为什么吉普车的人坐1-2号位。觉得不可能有人堵桥，大意了？[ 此帖被喳喳玩hupu在2018-06-03 10:52修改 ]"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","我好想再抱抱你","m16扫车真的见功力，被闪了不慌杀godv是关键，强就完事了发自虎扑iPhone客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","S4turn","三天的比赛看下来，对211的观感有点复杂。敬佩他但又讨厌他，因为他把我主队的尊严按在地上摩擦了一遍又一遍。发自虎扑Android客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","浪里白条丶","我觉得是好事，一梭子前队友的子弹告诉他们细节有多么重要。发自虎扑Android客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","buctor","呜呜呜，都给我哭发自虎扑Android客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","欧阳永叔","引用10楼 @呆来了谁 发表的:雷的位置炸不到莉莉吧 是莉莉先听到拉栓声主动出击的吧 一瞬间的事情，雷不管能不能炸到，4am肯定要有对方会被逼迫走位的准备，几乎雷炸的同时在扔闪，时机把控的不好，韦神和孤存是脱节的。发自虎扑Android客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","何时别离两相逢","希望4am知耻而后勇发自虎扑iPhone客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","CP3智斗3CP","分析的很到位发自虎扑Android客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","嘣嚓嚓嘿嘿","猪头被补后cpt和拳王有没有爬到掩体后面，我觉得孤存可以试着扶队友的，毕竟fpp人数优势要大发自虎扑Android客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","不是道士终南山","引用12楼 @怀表停了 发表的:直到这个游戏的尽头，见证过这个镜头的人恐怕都不会忘了如此经典的时刻，因为它不只是一次个人英雄主义的极致发挥，同时也承载了属于双方的恩怨情仇。说是放下了 但话题性和故事永远都在那啊。威少和杜兰特关系修复了 但是看见他们谁能不想起曾经的王炸组合呢。发自虎扑iPhone客户端"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","plarker","个人感觉孤存如果在韦神被打掉以后选择封烟救人会不会是个好的选择？发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","蓝军米饭侠","这就是在自己户口本上写着“办-证、迷-药、木仓 。1xxxxxxxxxx”   ，然后拿着户口本去户籍大厅办理业务，户籍民警办理了业务，其他什么都没做。"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","igniz0412","现在蓝洞公告的可信程度比斗鱼蓝光的码率都低发自虎扑Android客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","展翅翱翔烧饼多","一个游戏再火 再好玩 被外挂支配早晚要凉 参考冒险岛。发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","23号圆梦","看了一段时间qqq的直播，刚开始总是感觉他被人杀了就说是挂，结果有了回放以后，发现竟然真的有这么多挂。。。由此观之，17shou这种选手杀的稍微低端点的挂真的不知道有多少，挂其实比想象中多的多。发自虎扑Android客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","Ambulation","引用1849楼 @放三分不进 发表的:傻逼自爆，头像q群腾讯分分钟找到你。不过我希望所有孤儿都这智商。这种在亚服前几的都是q群，要找早就找了发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","蛋疼马甲","挂上分太容易了，会源源不断的新号用挂充分打打广告。即使现在挂便宜了，但是相比98一个号，利润还是相当的可以发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","马甲","引用1245楼 @为嘛要起名 发表的:前两天我和基友在网吧吃鸡 看见有个人开外挂然后被人用挂打死了 还骂人家开挂的是孤儿 当时我俩就笑了那你有没有走过去用力的一拍他肩膀然后大声说，卧槽，哥们你说的太对了，我也觉得开挂的都因该死全家"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","磁铁能日天","这个是真滴牛逼发自虎扑Android客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","原来长岛没有雪","外挂再多，环境再差，这都不是你开挂的理由。发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","夕阳下的奔跑丿","就是不管，你随意举报，封一个号算我输。发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","球爹南波丸","我是真的烦那些吐槽说挂多的他就来吐槽你玩的菜非要说挂多。论坛里你不认识我，我不认识你的。我有必要甩锅给外挂吗？玩了三百个小时了。看一眼回放，判断一下射速和弹孔。是不是挂不一清二楚。？发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","4yu","起个名字就是虎牙的么，你起码给个直播地址啊"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","隔壁小高","外挂软件都开源了，你说呢还是那句话，蓝洞无能而已，以后幺蛾子会更多，真以为天朝玩家走了就好了？之前一堆人喷我，说CSGO和OW也有挂。有智商吗？CSGO和OW有这么多种类的挂？有这么八仙过海的挂壁？有已经赚到不想赚干脆开源的外挂制作人？最后，有面对这么多挂，1年时间却一点反应都没有的公司？别拿OW和CSGO和吃鸡比，我就算一个万年暴黑，我也觉得暴雪丢不起这人"
"[虎扑绝地求生复盘]KZ_SSSNB211单人堵桥4AM详解：致命失误成就永恒经典","余风与你","这个1v4是不可能复制的，各种各样的原因累积成的1  211手感爆炸，前几场打的特别好，这局要追分2  4am转移时间早3  4am状态没有，心态爆炸，随缘游戏，最后一局4  4am不确定几个人，心里没想过堵桥架枪就是一群失魂落魄的人，碰到一个强无敌的人发自虎扑Android客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","kicle","秀，这个营销手段厉害了发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","痛恨外挂","为了不让人说成云吃鸡，我也换了1万多的电脑，把小孩的号拿来玩了两把。第一把摸摸索索捡了点垃圾，枪还没得，就被打死了在新地图荒野小屋，存活时间不到5分钟。死亡回放，对方是在房顶上胡乱放枪，我在屋里中枪倒地。家里人不让玩，怕我气个好歹，说实话我真不气，重在参与。过几天换个老花镜，老子干死这群挂逼。"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","丨逆沙丶","孤儿没有家人，自然不用过节了呀，只能来打游戏了发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","iZnoG0urD","前几天孤儿还要等到决赛圈才发力，这周末孤儿不演了，直接落地直接穿墙腰射走起，10把至少8把都是这样的孤儿秒杀你。这游戏还有什么意义？发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","我干榴莲","正常的要死，你想偷袭别人，直接被人反杀发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","放三分不进","傻逼自爆，头像q群腾讯分分钟找到你。不过我希望所有孤儿都这智商。发自手机虎扑 m.hupu.com"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","淡淡得清香","最搞笑的是 挂并不用源源不断新号刷分 因为蓝洞根本不管排行榜发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","这羊很紧","引用2204楼 @外挂王 发表的:有没有可能是因为现在大家都会玩儿了所以才让你感觉毫无还手之力？你的名字旁人恶心，可怜你孤身一人发自虎扑iPhone客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","至尊的大宝","第二个圈就十个，人家本来也没装啊。。。发自虎扑Android客户端"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","mel丶","引用1946楼 @Devil_chen 发表的:这个游戏第三人称，要是对方只开了一个透视，你还真不好辨认出g，不像cs你也太年轻了，10年前刚玩cs那会开过一次透视 只有自己开了透视才能轻易的知道对面是不是透视，对面一个走位我就知道他是透视了，对面也知道我是透视，dota1那会vs平台我也开过2次全图， 当我开启全图的那一刹那，我知道对面的那个小B也开的全图"
"感觉这游戏已经被外挂支配（版主注：吐槽外挂讨论，单开合并）","我揍赵之hui","蓝洞要是只顾用户数量这个游戏迟早要死。发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","爱你爱你在一起","这个我承认，就是这个战队太菜了发自虎扑iPhone客户端"
"唯一k神也进211车队了","怀表停了","211，堡垒，lionkk打兄弟吃鸡，17shou得知后选择了一条最艰难的路。。发自虎扑iPhone客户端"
"如果你们喜欢的选手，活在剑侠世界之中。","一个中二的少年","传承之剑：高德伟    高德伟从睡梦中醒来，竟然重生了，呵，小说般的剧情。  前世早已是顶尖强者的他，这一世，自然不会平凡。  拥有最高剑法技巧的他，敌人，在他的眼里，皆是破绽百出。  谁又能知道，在不到二十岁的面孔之下，竟然藏着一个几百岁的灵魂。  况且，他手中的剑，还是曾经的十大神剑之一。  上一世，他骄傲放纵，一人大战江湖盛名已久的十大高手，最后陨落当场。  直到陨落的片刻，他的脑海中，才想起了她温柔的身影。  这一世，他注定不会再辜负于她，前世的债，他决定要用今生来还。  还有那些曾经陷害于他的人，他注定要血债血偿。  柏林之颠，他高德伟，又回来了。  他是传承之剑，高德伟。发自虎扑Android客户端"
"4阿妹国际赛场的精彩表现","伱微笑時好美丶","别的不说，几兄弟出国没丢过人。好好训练，德国加油！胸前的五星红旗🇨🇳，是荣耀更是责任！发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","张曼源我女票","我FGA不服。发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","Scutumhy","马牛逼晚上直播饿了都只能自己炒饭吃（滑稽）发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","秦歌Q","大京除了定妆照，什么时候都好看发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","麦咭sir","我XQ不服。发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","Ahler","笑容:你是不是对颜值有什么误解？？？发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","Polarisleo","Fga颜值碾压！新来的小豪有点像土鸡，愣愣的，不愧是土鸡的朋友，还有替补队员Fga mer 绝地一枝花！发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","我是波尔津吉斯","我4阿妹颜值一队表示不服发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","生德韦大","引用27楼 @果酱呀 发表的:那当然是我土鸡最帅了，有不服的吗？土鸡：有人说我帅？反正我个人是觉得大京是17最帅的[ 此帖被生德韦大在2018-05-31 11:45修改 ]发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","是小谢SAMA","引用48楼 @亦念的光泽 发表的:布谷鸟，掏鸡窝也挺帅的好吧布谷鸟帅，很清新的感觉，而且声音贼好听，绝地第一声优不过分吧发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","faker的电竞梦","我觉得XQ才是绝地颜值牌的黄埔军校发自手机虎扑 m.hupu.com"
"17战队是绝地颜值最高，身材最好的战队吧？","呵小饼干","我觉得没毛病发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","失眠暴力熊","错了FGA才是最帅的，阿聪小文2大帅哥。发自虎扑iPhone客户端"
"问一下，有去德国柏林看PGI的童鞋吗","婻風哟","5月份有个孤少粉就在问了，当时很多人说4阿妹不一定能得冠军，然后她说粉孤少很久了，只要有一丝希望她都要去买，不然万一夺冠了，她没去她会后悔一辈子。然后阿妹夺冠了，想想真的奇迹。发自手机虎扑 m.hupu.com"
"唯一k神也进211车队了","张小共","一局里面有XQ、xiaodu    Ehome、970  我是在看PCPI吗233333"
"唯一k神也进211车队了","T10特拉风","我知道211怎么这么厉害了，都是ob学来的发自虎扑iPhone客户端"
"唯一k神也进211车队了","autumn1412","211线下猛如虎线上菜如狗发自虎扑Android客户端"
"唯一k神也进211车队了","野餐乐趣多","小毒刚才按错键从房子上掉下来了，第一个凉凉，后来好像970杀了211，之后小毒他们车队几个人都被Lionkk杀了😂😂😂发自虎扑iPhone客户端"
"唯一k神也进211车队了","POMELOVE","杀人王凶起来队友都杀"
"唯一k神也进211车队了","RiiiiiinGs","梦之队，还差一人！211+K神+堡垒 已在列！就等17shou了！！！！！！！！！！！！！！！！！！！！！"
"唯一k神也进211车队了","是冰雪啊","35杀并且诛仙...满编吃鸡，真·猛男梦之队...发自虎扑iPhone客户端"
"唯一k神也进211车队了","比斯开湾的幽灵","XQ小毒追杀211发自虎扑iPhone客户端"
"唯一k神也进211车队了","marytao","刚刚机场偶遇XQ小毒 莉莉飞天大草反杀发自虎扑iPhone客户端"
"唯一k神也进211车队了","ALLLLex","211又第一个死  继学习堡垒第一视角后 又将学习k神第一视角发自虎扑iPhone客户端"
"唯一k神也进211车队了","Xyerso","有意思了遇到xq了发自虎扑iPhone客户端"
"唯一k神也进211车队了","JR丶boom","引用64楼 @怀表停了 发表的:211，堡垒，lionkk打兄弟吃鸡，17shou得知后选择了一条最艰难的路。。又想黑我阿杜？发自虎扑Android客户端"
"唯一k神也进211车队了","拉风的昵称嘿嘿嘿嘿嘿","反向堵桥！集体退役！发自虎扑iPhone客户端"
"唯一k神也进211车队了","marytao","引用16楼 @野餐乐趣多 发表的:小毒刚才按错键从房子上掉下来了，第一个凉凉，后来好像970杀了211，之后小毒他们车队几个人都被Lionkk杀了😂😂😂小狮子把970杀了 然后970去yy骂他 哈哈哈发自虎扑iPhone客户端"
"如果你们喜欢的选手，活在剑侠世界之中。","一个中二的少年","平凡之剑：马牛逼    他以前本不是练剑的，只是一个炒菜的厨子，只是听说练剑能够养家糊口之后，便开始练剑了。  他没有师傅，也并没有人教他，于是他便地摊上买了下一本《练剑基础》之后，便开始了练剑之旅。  朝起寒暑，晚练三伏。  没有人知道他练剑吃了多少苦。  当别的剑客在门派里毫无压力练着高级剑诀的时候，他却在为了一本初级剑法和人拼命。  还好，对方并没有他命硬。  他本只是打算当一个普通的剑客，替人押押镖，赚点银子养家糊口。  但他练着练着，却已经达到了有人毕生都不可能达到的境界的时候。  他方才明白，原来，他也是练剑的天才。  发自虎扑Android客户端"
"如果你们喜欢的选手，活在剑侠世界之中。","一个中二的少年","命运之剑：孤存    当一颗彗星划过星空，一个婴儿出生了。  他是一出生，便受人瞩目的天才。  “剑心，十品。”当检验剑心的老者喊出这句话的时候，所有人都惊呆了。  他被接送到了帝国最好的剑客学院，出生平凡的家庭，也因为他的出生，成为了帝国的贵族。  他从小便是抱着十大神剑之一纯阳神剑长大，年龄不到18岁，便已经踏过了九层剑塔，成为了史上最年轻的剑神。  他心无杂念，不近女色，心中只想着，有朝一日，能够用手中的剑，破开这天的笼罩。  如果说他非要有什么缺点，那便是贪财。  帝国的宝藏，早已被他挖了遍，就连帝国守卫森严的宝库，也曾被他潇洒的三进三出。  几万年后，当年繁华的帝国，已然化作一片废墟，他屹立在废墟之上，背着一把剑，手提一壶酒，望着早已改变的沧海桑田，孤独的存在着。  几万年，他依然还是没能破开这看似簙弱的天空。发自虎扑Android客户端"
